k1,k2,class
4.94178722300000,-0.036949014,1
4.88991986300000,0.386043531000000,1
5.20091150900000,0.211700217000000,1
4.97125463900000,0.424679223000000,1
4.92867842500000,0.706144172000000,1
5.01656711600000,0.564671676000000,1
4.82166992300000,0.739930390000000,1
4.93662093200000,0.696622031000000,1
4.97894091500000,0.942572307000000,1
5.02305747700000,1.01630955000000,1
4.91939901200000,1.07655523500000,1
4.84432053400000,1.36474391800000,1
4.95690226300000,1.35325190900000,1
5.04113242500000,1.43658268100000,1
4.88396549000000,1.56985104800000,1
4.68867935400000,1.82875135800000,1
4.71511854700000,1.71593624200000,1
4.63066056400000,1.87334288900000,1
4.60868207400000,1.94401515600000,1
4.55089266100000,1.93751077600000,1
4.52133857100000,1.97469808200000,1
4.46271837100000,2.23228994100000,1
4.46467910800000,2.40838327400000,1
4.26438631800000,2.28746665500000,1
4.53173812300000,2.77041956600000,1
4.36837269800000,2.53333040200000,1
4.28061306500000,2.69842299200000,1
3.95783528200000,2.77385215100000,1
4.09352214200000,2.89896480100000,1
4.05428270800000,2.58865964500000,1
3.86949162900000,2.87621804700000,1
3.83922236900000,2.92001736100000,1
3.82600783600000,3.09477536600000,1
3.84376386100000,3.19725349000000,1
3.77431025500000,3.20676699400000,1
3.45369213600000,3.32332393800000,1
3.63356462600000,3.61319062800000,1
3.43713270500000,3.72818130700000,1
3.41053481100000,3.65707838800000,1
3.31659568800000,3.66014340900000,1
3.29327829900000,3.84232194300000,1
3.16639247400000,3.58350161600000,1
3.32132124100000,3.82272442000000,1
3.21526210000000,4.08427934100000,1
2.67133563500000,4.04456223500000,1
2.87866950300000,4.18494762900000,1
2.82618259200000,4.22235300400000,1
2.70820426700000,4.26254006900000,1
2.75764767400000,4.32827933300000,1
2.48230473900000,4.33109662800000,1
2.47193997800000,4.37778375300000,1
2.23720696100000,4.32687812200000,1
2.25301238800000,4.57630444800000,1
2.25951956100000,4.61427598400000,1
1.96053838500000,4.64970312200000,1
1.83721548000000,4.59682256700000,1
1.70529380500000,4.78193327700000,1
1.78792267800000,4.77915709300000,1
1.63164363700000,4.75226621400000,1
1.43718001000000,4.62477891000000,1
1.34194454800000,4.96696006900000,1
1.38125649400000,4.78394871500000,1
1.19309320200000,4.73691620500000,1
1.27183754600000,4.96591201900000,1
1.08481804400000,4.93532042800000,1
1.06657389000000,5.02479430800000,1
0.980021440000000,4.82993884300000,1
0.666566788000000,5.06677822200000,1
0.735972593000000,5.06991843600000,1
0.536183799000000,4.99817836100000,1
0.385663109000000,4.97867800000000,1
0.451324948000000,5.02091775700000,1
0.233723537000000,5.03632056800000,1
-0.061523825,5.20316308800000,1
-0.053519925,5.21345386500000,1
-0.107290353,5.06291025400000,1
-0.258290102,5.15708481000000,1
-0.302742739,4.99202634800000,1
-0.361760372,5.09379695800000,1
-0.62548236,4.83743064300000,1
-0.554948921,4.98988399300000,1
